epoch,train_dice,val_dice,train_loss,val_loss
1,0.2298,0.5362,0.2632,0.087
2,0.6487,0.4344,0.0891,0.1697
3,0.888,0.9499,0.0257,0.0122
4,0.9565,0.9664,0.0104,0.0079
5,0.9693,0.9718,0.0075,0.0067
6,0.9743,0.9761,0.0062,0.0055
7,0.9774,0.9782,0.0054,0.005
8,0.9799,0.982,0.0048,0.004
9,0.9824,0.984,0.0041,0.0035
10,0.985,0.9859,0.0034,0.003
11,0.988,0.9896,0.0026,0.0021
12,0.9917,0.9932,0.0017,0.0013
13,0.9946,0.9958,0.0011,0.0008283
14,0.9964,0.997,0.00073138,0.00061276
15,0.9974,0.9978,0.00053688,0.00046818
