epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
1,0.9296,0.9779,0.192,0.9431,0.9878,0.1433,0.001
2,0.9446,0.9884,0.1374,0.9438,0.9878,0.1401,0.001
3,0.9471,0.9899,0.1281,0.9525,0.9912,0.119,0.001
4,0.9494,0.9907,0.1224,0.9535,0.9925,0.111,0.001
5,0.9502,0.9912,0.1192,0.95,0.9914,0.1186,0.001
6,0.952,0.9916,0.1157,0.9545,0.9922,0.1124,0.001
7,0.9541,0.9924,0.1108,0.9569,0.9935,0.103,0.0005
8,0.9551,0.993,0.1061,0.956,0.9936,0.1021,0.0005
9,0.9561,0.9931,0.1048,0.9571,0.9935,0.1033,0.0005
10,0.9569,0.9934,0.1021,0.9599,0.9938,0.1013,0.0005
11,0.9574,0.9935,0.1023,0.958,0.9937,0.1011,0.0005
12,0.9577,0.9938,0.1004,0.9589,0.9937,0.1017,0.0005
