relative_path,size_bytes,sha256
.gitignore,461,61a7a035d744e49e868b31f3d1a8360b4421c3bec116b5efea28743c739464f2
.streamlit/config.toml,181,c0c745d70fb5dbd9b4589f699f8004e98ef2c441b06a66523ad2a6a7b42d86a1
BROWSER_MODEL_FIX.md,1345,df71942b0a527b2051d63d36cdbd4caa8bb9c74ba8f742742ca4cdaac1178d7a
Dockerfile,357,1e37cc52fae9e6bfc425836345d4f81f3c5b4421c883445bd655c4404a9b8e95
IMPROVEMENTS.md,1203,00fee0244c14a1f0c16447fd76a027728050370db32d2a3ac81010dc90550523
LICENSE,1071,010d5c26b308650f4d5f3eb1010a3cd5d5fe0618b478d7e7944ae1bbfd2b7cd2
MONOREPO_INTEGRATION.md,1097,00dffa6d9b44a0c4ec7f04b2c653a021ffa3b899f8d8c067fbdd1019e2e33c58
PROJECT_AUDIT.md,2336,e722a333ae25c410fccb13f1e211283c5c34eeb2a455c833afdb71e72bd810e6
PROJECT_TREE.txt,6424,9e947d3815ac52bb47e4d83cdbb46737d0e3dff53c16f7cb395282c8c7a62812
README.md,12884,11352784fe0dc313e96999fecb9306450eb323be1cf30c150e133eb84bc1a834
README_CLOUDFLARE.md,1879,0397f6d422f78b8250b797a5398b4aab4f58ce8cab24f28cf0ef1e25c80bebb4
README_GITHUB_PAGES.md,2637,1d3f72c88bf7b4621f1d3887090c65874d4ee473818654131a774d9b20d7ab0c
README_HOSTING.md,352,07713ef1ee7b443d66e6dd4f281d76bdc596b51947543ebee278dfb8d8b2a573
VALIDATION_REPORT.md,1415,6dd359fb16f469457c7c828a5489333d672f216ec1d2e220c8b4ebf0aa8b3aa5
__init__.py,91,bf7970c72b44ae2b7fad2fd6c751fb72bc3aa83cb457f11f31774b9597b1cdac
app/__init__.py,46,50872dbbc4c70d0aaca0973faec07040f134061af4e4eda1e90e56b09f48a6f1
app/cli.py,1007,8b6ccb58733f98090d1457934b77806d3ac991fa3786231ab919aa6ca7ec25f6
archive/README.md,197,6de6bf82ba7800c740947f3114c2264b4ac4b0837e9bcaf368296dc034f9d4ec
archive/source-neural-style-transfer/Neural_Style_Transfer_CNN_FULL_ELITE.ipynb,1691124,c06b862ec9ac2bccf230a9c040641006fbca55920a36d2ba0891447297f65f69
archive/source-neural-style-transfer/README.md,327,dd6e28a7022421829f3589239cde48372e86212e87046d9310e3eb291f5c8cfb
archive/source-neural-style-transfer/metrics.json,229,4e471ba659ffaa2b813f6c270a32217b28d99c648e5811fca1d33ef591ac155d
archive/source-neural-style-transfer/portfolio_build_brief.md,42311,200226c08c43757aff9f0517f2f04a0c3acc2a76efbd2261a1dba6f8c7358105
archive/source-neural-style-transfer/style_transfer_triptych.png,147344,fe7af94194511b976327064ccf2ffcdaf6c1ff3094f6b1a2d3fcc1ee68937655
archive/source-neural-style-transfer/stylized_output.npy,196736,2164d7933f3ff8cc2271a6e7bbc33768922362fef88b0362cacb5e8f4b4b213e
data/README_data.md,337,7fb2abfbb2a6ef2f5b3cf89460890e304dc315d5e66f176d8d4666333348ff4b
data/processed/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
data/raw/README.md,211,4e3b4090de8d78e079c7d2966e36a0b5b654b2340392e69d15c0d286f81ce86e
data/sample_images/README.md,241,d1edc07d7d8de1b167961bc7d7517aa28717bfd51320c4484be785a4f100c0b4
data/sample_images/sample_cool.png,2106,e39c43e4c2d91a0f2b4663e3414140b65b9f3fe09ffa52979a0624890dcd0148
data/sample_images/sample_green.png,1205,6e4476ed08497e4a14152b908a7118b1b33ab90e91fe5b13d23ce5262ce072c5
data/sample_images/sample_warm.png,2331,d6f3e617c49abcc54df96db4513500df5ea7d3225a9a2cedfe18d9a855087267
images/demo_screenshot.png,17245,406c2cc650bf40ddc93a9701699ccce49eed4e10a8ce2b8d9fac6243f334dc88
models/README.md,613,96df5d298ef1d4637f43f9d5641e16fa37c80f9f53810c4cd6a95eea495cdfa4
models/class_indices.json,342,215825e31b6259acf4b4d26b4ba175b53c17ca2537ced3ef5b705af71638956c
models/model_metadata.json,1442,604fd03e3b01df87a9713fd0ef50fade9f1330321818427affc5eac193571b08
models/tfjs_model/SMOKE_TEST_ONLY.md,211,430957e1f46500f7dd1dfda216464716a437117dd53f85134d8cb8a17f621ed0
